Inst	Enroll	Tuition	GPA	ACT	Ret Rate	Full Time	Under>25	Grad Rate
CMU	28389	10380	3.27	22.3	76	89	13	57
EMU	23503	8377	2.96	20.44	72	72	28	40
FSU	14381	9930	3.21	21.1	68	73	25	44
GVSU	24541	9088	3.51	24	83	88	11	61
LSSU	2644	8889	3.18	21.6	69	82	21	26
MSU	47200	11153	3.61	25.4	91	92	4	77
MTU	6957	12017	3.58	26	83	94	5	65
NMU	9273	7897	3.12	22.9	73	89	17	46
OU	19053	9285	3.3	22.4	74	74	21	41
SVSU	10656	7307	3.2	21.5	71	84	19	38
UMAA	41674	11838	3.8	28	96	97	2	89
UMD	8885	9455	3.54	24.15	78	70	26	49
UMF	8138	8601	3.23	22.07	72	66	38	45
WSU	31505	9025	3.19	20.4	76	64	31	32
WMU	25045	9306	3.3	22.5	72	87	12	54
